exercicio,periodo,periodo_numero,periodicidade,instituicao,pctg_dtp,valor_dtp,valor_rcl_ajustada
2017,1,20171,Q,Prefeitura Municipal de São Paulo - SP,37.58,16326772007.75,43449832401.89
2017,2,20172,Q,Prefeitura Municipal de São Paulo - SP,37.42,16481537019.94,44046903764.54
2017,3,20173,Q,Prefeitura Municipal de São Paulo - SP,35.8,16936899034.25,47305318527.64
2018,1,20181,Q,Prefeitura Municipal de São Paulo - SP,35.49,17255542224.74,48624090109.12
2018,2,20182,Q,Prefeitura Municipal de São Paulo - SP,35.2,17530845495.88,49801405650.61
2018,3,20183,Q,Prefeitura Municipal de São Paulo - SP,36.92,18025981576.42,48830405884.01
2019,1,20191,Q,Prefeitura Municipal de São Paulo - SP,36.15,18346577308.85,50757883723.53
2019,2,20192,Q,Prefeitura Municipal de São Paulo - SP,35.48,18429410069.65,51942413607.27
2019,3,20193,Q,Prefeitura Municipal de São Paulo - SP,35.36,19154205068.1,54166943978.98
2020,1,20201,Q,Prefeitura Municipal de São Paulo - SP,34.03,19241921204.63,56549458415.67
2020,2,20202,Q,Prefeitura Municipal de São Paulo - SP,34.16,19638099738.05,57482783698.49
2020,3,20203,Q,Prefeitura Municipal de São Paulo - SP,33.58,19761597496.21,58844309076.71
2021,1,20211,Q,Prefeitura Municipal de São Paulo - SP,32.98,19895155817.93,60331880087.75
2021,2,20212,Q,Prefeitura Municipal de São Paulo - SP,31.4,19974008251.03,63607843709.18
2021,3,20213,Q,Prefeitura Municipal de São Paulo - SP,30.62,20895893335.6,68251140178.06
2022,1,20221,Q,Prefeitura Municipal de São Paulo - SP,33.82,24488426651.82,72401965878.41
2022,2,20222,Q,Prefeitura Municipal de São Paulo - SP,27.93,21444984414.08,76777836817.4
2022,3,20223,Q,Prefeitura Municipal de São Paulo - SP,29.0,22821120900.03,78684857692.98
